City,Latitude,Temperature (F),Humidity %,Clouds %,Wind Speed (mph)
Dikson,73.51,-2.52,93,100,6.62
Isangel,-19.55,79.5,84,94,17.16
Qaanaaq,77.48,7.83,73,91,2.84
Berbera,10.44,82.4,79,1,6.31
Barrow,71.29,10.4,66,1,16.11
Grindavik,63.84,36.45,74,75,26.4
Longyearbyen,78.22,-2.2,84,20,2.24
Cayenne,4.93,80.6,83,90,8.05
Rikitea,-23.12,78.69,73,100,8.08
Mataura,-46.19,51.01,98,23,1.9
Bredasdorp,-34.53,62.37,59,28,8.05
Nikolskoye,59.7,30.07,74,75,8.95
Ushuaia,-54.8,50.0,71,75,6.93
Cape Town,-33.93,61.99,77,20,17.22
Şile,41.18,45.3,93,75,14.99
Puerto Ayora,-0.74,81.52,69,20,6.93
Albany,42.6,44.19,69,75,5.82
Safaga,26.73,73.4,56,7,11.41
Vukovar,45.34,32.81,63,34,9.17
Yarim,14.3,59.88,36,85,5.17
Upernavik,72.79,-2.56,89,67,24.85
Provideniya,64.38,24.8,79,75,2.24
Denia,38.84,54.73,87,20,4.0
Saskylakh,71.92,-6.92,89,96,13.18
Krasnosel'kup,65.7,6.93,94,18,9.42
Todos Santos,23.45,77.43,24,40,17.22
Leh,34.17,25.16,25,100,5.1
Geraldton,-28.77,61.39,77,65,8.05
Sinnamary,5.38,79.74,81,99,13.71
Lamu,-2.27,83.59,79,20,8.12
Busselton,-33.65,52.23,74,98,6.24
Ampanihy,-24.7,69.31,85,42,9.69
Carnarvon,-24.87,68.0,82,96,10.29
Mareeba,-17.0,75.2,74,40,16.11
Richards Bay,-28.78,76.62,70,100,13.96
Paso de Patria,-27.25,76.17,83,90,6.93
Moose Factory,51.26,39.2,64,1,11.41
Caravelas,-17.71,79.43,84,77,9.01
Marhaura,25.97,66.2,88,0,4.36
Pisco,-13.7,71.76,30,75,5.82
Innisfail,-17.53,70.0,95,91,1.01
Cherskiy,68.75,-2.06,91,80,8.99
Asău,46.43,30.88,77,35,4.7
New Norfolk,-42.78,54.07,81,20,3.36
Muroto-misakicho,33.28,57.2,100,75,5.82
Ilulissat,69.22,3.2,77,97,17.22
Viedma,-40.81,67.1,41,95,15.08
Hilo,19.73,71.8,73,90,5.55
Lüderitz,-26.65,64.4,63,0,11.41
Vaini,-21.2,80.6,83,40,2.24
Souillac,-20.52,77.47,94,20,2.24
Sisimiut,66.94,4.66,88,91,4.25
Saint Paul Harbor,57.79,37.4,34,1,4.7
Pringsewu,-5.36,74.16,89,100,2.44
Los Llanos de Aridane,28.66,66.2,72,20,5.82
Lavrentiya,65.58,15.76,93,0,7.27
Mehamn,71.04,26.85,79,90,14.99
Tasiilaq,65.61,28.4,36,2,19.46
Tuktoyaktuk,69.45,8.6,60,40,19.46
Bubaque,11.28,79.61,71,31,13.71
Hay River,60.82,-4.0,58,20,5.82
Torbay,47.67,34.21,98,90,3.36
Birin,26.89,56.5,27,0,4.12
Kenora,49.82,52.43,22,20,9.17
Ribeira Grande,38.52,57.18,67,95,28.79
Saldanha,-33.01,60.8,77,0,14.99
Touros,-5.2,80.6,88,40,6.93
Saint-Joseph,-21.37,71.58,83,75,9.17
Katsuura,35.13,50.94,93,75,12.75
Taoudenni,22.68,81.28,13,82,8.79
Hong Kong,22.29,65.59,100,40,5.82
Kul'dur,49.22,24.96,88,13,4.25
Airai,-8.93,60.51,71,92,1.12
Hithadhoo,-0.6,83.03,70,50,9.71
Laramie,41.31,51.28,23,75,21.92
Punta Arenas,-53.15,53.29,66,40,10.29
Rincon,32.3,69.75,94,90,16.11
Guerrero Negro,27.98,79.32,21,100,6.44
Bethel,41.37,45.72,61,90,4.7
Yangi Marg`ilon,40.43,59.0,58,100,4.7
Tazmalt,36.39,64.4,59,75,17.22
Khromtau,50.25,39.25,68,100,6.51
Jamestown,42.1,43.0,81,90,8.05
Paamiut,61.99,21.34,93,0,21.77
Ancud,-41.87,60.8,48,40,12.75
Saint George,37.1,66.76,24,1,5.82
Enshi,30.3,52.12,66,90,1.36
Jingdezhen,29.29,44.69,90,30,1.34
Lumby,50.25,48.2,39,20,8.05
Henties Bay,-22.12,59.0,90,0,1.99
Padang,-0.95,78.21,75,100,2.8
Arraial do Cabo,-22.97,78.03,83,75,9.17
Bosaso,11.28,81.9,75,1,2.19
Kirakira,-10.45,79.79,86,100,9.89
Butaritari,3.07,83.55,78,82,18.19
Atuona,-9.8,82.18,80,1,15.46
Kapoeta,4.77,84.54,41,49,5.53
Quang Ngai,15.12,75.67,88,1,7.4
Sakaiminato,35.55,54.66,100,90,4.7
Ulladulla,-35.35,63.23,100,75,3.36
San Patricio,19.22,84.2,79,5,11.41
Comodoro Rivadavia,-45.87,64.4,59,20,1.12
Ixtapa,20.7,80.8,74,40,14.99
Isoka,-10.16,64.0,69,89,1.43
Yellowknife,62.46,8.29,39,20,6.93
Nizwá,22.93,73.98,38,1,1.79
Bluff,-46.6,51.01,98,31,4.07
Hermanus,-34.42,60.91,85,46,14.76
Luganville,-15.53,78.8,86,100,13.13
Chui,-33.7,69.28,72,84,14.67
Chokurdakh,70.63,-6.36,91,90,5.44
Ubari,26.59,67.33,21,64,11.65
Rundu,-17.93,68.61,63,26,4.85
Turukhansk,65.82,5.49,95,79,6.13
Bairiki Village,1.33,84.2,74,75,8.05
Gorin,51.2,28.96,87,0,6.64
Ponta do Sol,32.67,56.17,72,20,13.87
Quatre Cocos,-20.21,77.52,94,20,2.24
Port Alfred,-33.59,68.67,79,99,17.67
Faanui,-16.48,82.45,77,0,11.14
Avarua,-21.21,84.2,83,75,6.93
Hwange,-18.37,69.64,58,89,1.43
Praia,14.92,75.2,53,61,14.99
Tuatapere,-46.13,51.01,98,51,3.13
Saryg-Sep,51.5,14.45,84,5,0.87
Necochea,-38.55,60.98,70,77,1.01
Lebu,-37.62,58.98,69,1,18.77
Kemijärvi,66.71,25.66,95,92,4.99
Viesīte,56.35,30.76,89,100,9.13
Tomatlán,19.93,88.05,38,57,9.82
Xingyi,24.19,54.12,28,0,2.28
Tezu,27.92,69.75,36,67,3.4
Ulaangom,49.98,5.23,81,14,2.68
Iralaya,15.0,87.8,70,20,11.41
Qaqortoq,60.72,35.6,74,20,5.82
Cabo San Lucas,22.89,77.99,41,40,10.29
Kruisfontein,-34.0,59.56,81,0,12.19
Kenai,60.55,28.24,58,1,3.36
Porto-Novo,6.5,82.13,81,44,8.63
Port Lincoln,-34.73,62.56,76,100,5.64
Hirara,24.8,73.4,94,75,5.82
Manaure,11.78,84.88,55,0,19.53
Borba,-4.39,80.22,92,100,1.9
Port Elizabeth,-33.92,62.6,77,26,12.75
Alyangula,-13.85,73.4,100,10,4.63
George Town,5.41,82.63,88,20,3.76
Pedini,39.6,44.71,93,76,1.12
Nazca,-14.83,80.19,40,100,10.89
La Ronge,55.1,6.8,77,90,4.7
Cabedelo,-6.98,80.6,83,20,6.93
Tommot,58.96,19.83,92,100,12.28
Kavieng,-2.57,82.96,75,99,7.45
Yurty,56.05,34.86,77,95,11.07
Winnemucca,40.97,62.6,25,90,21.92
Fortuna,40.6,51.98,87,75,11.41
Kahului,20.89,71.38,73,40,14.99
Fairbanks,64.84,24.04,32,1,11.41
Pias,15.35,77.0,73,20,4.7
Alofi,-19.06,86.0,84,75,5.82
Aklavik,68.22,14.4,36,5,13.87
Eskil,38.4,47.91,56,100,4.05
Ikorodu,6.62,82.4,94,20,5.82
Robertsport,6.75,81.05,82,0,8.19
Jalu,29.03,60.84,55,0,11.92
Sinyavskoye,47.28,39.63,60,20,11.18
Kochi,9.94,82.4,88,20,4.18
Beloha,-25.17,70.77,85,29,10.89
Korgen,66.08,30.11,74,99,14.99
Ormara,25.21,74.08,86,0,10.45
Senador José Porfírio,-2.59,75.67,93,100,2.42
Okhotsk,59.38,15.26,93,69,2.95
Castro,-24.79,70.81,52,3,1.63
Codrington,-38.27,56.68,84,4,7.27
Altay,47.87,28.74,48,0,8.66
Labuhan,-6.88,78.24,83,31,2.51
College,64.86,23.94,32,1,9.17
Naze,28.37,70.68,94,75,6.93
Tura,25.52,68.49,26,0,1.74
Maniitsoq,65.42,9.21,90,100,11.3
Saint-Philippe,-21.36,71.56,83,75,9.17
Semnan,35.57,51.44,31,0,2.77
North Bend,43.41,51.53,62,20,11.41
Kapaa,22.08,75.11,73,40,13.87
Merrill,45.18,40.12,60,90,9.17
Zheleznodorozhnyy,55.75,21.76,73,74,6.71
Ürümqi,43.8,42.8,30,0,2.24
Piripiri,-4.27,78.96,85,98,1.43
Mahébourg,-20.41,77.4,94,20,2.24
Sawtell,-30.38,66.4,94,8,3.36
Fernández,-27.92,75.22,84,97,7.02
Marawi,8.0,66.51,74,92,2.21
Coyhaique,-45.58,55.4,50,20,9.17
Mtambile,-5.38,84.7,74,43,10.29
Fort Nelson,58.81,12.2,56,75,5.82
Labuan,5.28,79.18,94,75,3.47
Faya,18.39,61.7,67,0,8.05
Mar del Plata,-38.0,64.26,59,40,11.41
East London,-33.02,68.85,84,100,20.4
Atikokan,48.76,43.57,59,1,5.35
Klyuchi,52.27,25.97,89,0,7.63
Challans,46.84,45.91,71,0,13.87
Lázaro Cárdenas,17.96,85.64,52,0,9.82
San Cristobal,7.77,84.2,62,40,8.05
Doka,13.52,83.44,11,0,10.6
Ponta Delgada,37.73,53.6,62,20,9.17
São José da Coroa Grande,-8.9,81.48,76,96,8.16
Maragogi,-9.01,80.96,76,95,7.56
Najrān,17.49,73.4,33,5,2.24
Raudeberg,61.99,41.36,93,75,4.7
Boda,4.32,79.14,55,62,3.4
Balakovo,52.03,44.55,79,0,15.9
São Filipe,14.9,74.41,78,79,13.4
Bambous Virieux,-20.34,77.49,94,20,2.24
Tupik,54.43,21.04,88,100,6.17
Chumikan,54.72,25.39,89,0,12.59
Laguna,38.42,69.13,56,20,8.05
Paphos,34.77,59.61,77,40,8.05
Bara,10.37,90.41,34,96,3.11
Benghazi,32.12,60.04,75,2,9.1
Klang,3.03,78.4,94,20,3.18
Bloomingdale,27.89,80.91,78,90,18.34
Gunjur,13.2,82.4,39,12,11.41
Corrales,35.24,63.88,18,1,9.6
Zhezkazgan,47.8,38.62,62,100,11.36
Bengkulu,-3.8,77.41,81,100,3.33
Umluj,25.02,77.58,36,14,5.01
Pārīchha,25.52,78.51,22,16,4.52
Port Macquarie,-31.43,66.67,100,18,4.7
Bom Jesus,-9.07,79.23,70,45,3.65
Avera,33.19,58.42,86,90,6.44
Grand Gaube,-20.01,77.63,94,20,2.24
Kilindoni,-7.91,84.22,77,49,9.73
Kaitangata,-46.28,52.0,91,2,1.99
San Policarpo,12.18,80.13,76,69,5.61
Thompson,55.74,21.2,67,75,20.8
Egvekinot,66.32,8.74,92,90,4.88
Yueyang,29.33,48.11,80,23,2.75
Iqaluit,63.75,-2.2,58,20,3.36
Palembang,-2.92,74.37,97,100,3.38
Palmer,42.16,45.82,52,90,11.41
New Amsterdam,6.25,79.43,75,77,10.83
Sitka,57.05,36.84,40,20,5.82
Mount Isa,-20.73,77.0,44,0,4.7
Taku,39.02,50.0,18,97,11.18
Port Blair,11.67,81.12,74,71,4.25
Kilrush,52.64,45.63,65,75,6.93
Joensuu,62.6,28.71,92,90,8.05
Poum,-20.23,77.58,77,39,15.99
Nemuro,43.32,38.95,85,100,21.27
Hambantota,6.12,75.2,100,20,3.36
Severo-Kuril'sk,50.68,35.1,85,100,15.08
Sioux Lookout,50.1,51.8,20,20,2.24
Laas,46.62,27.73,62,5,5.82
Mandalgovi,45.76,23.76,47,0,8.32
Vanimo,-2.67,78.62,83,100,5.08
Moyale,3.52,72.16,58,4,5.68
Guanaja,16.4,81.36,79,0,19.86
Griffith,41.53,40.53,86,90,12.75
Klaksvík,62.23,44.6,87,100,23.04
Kununurra,-15.77,75.2,88,13,3.78
Huarmey,-10.07,79.38,61,53,8.55
Ishigaki,24.34,73.4,100,75,4.7
Cidreira,-30.18,74.84,81,99,13.53
Khani,41.96,44.6,87,0,9.17
Saint-Ambroise,48.55,43.39,48,75,1.83
Te Anau,-45.42,52.2,65,28,0.74
Hobart,-42.88,54.57,81,20,3.36
Ngaoundéré,7.32,77.95,39,85,4.41
Esperance,-33.87,53.6,93,75,3.36
Les Herbiers,46.87,46.02,56,0,11.41
Sola,-13.88,79.25,88,100,17.78
Talara,-4.58,79.7,65,34,10.45
Kitangari,-10.65,68.94,81,65,2.62
General Roca,-39.03,66.2,63,96,4.7
Champerico,14.3,95.0,44,75,13.87
Rio Grande,-32.03,71.6,88,90,13.87
San Rafael,-34.62,71.42,49,23,7.52
Leningradskiy,69.38,7.57,91,13,5.39
Gizo Government Station,-8.1,81.34,82,97,12.41
Pitimbu,-7.47,80.6,83,20,6.93
Yaan,7.38,77.11,76,100,9.53
Porto de Moz,-1.75,78.93,87,100,1.3
Khatanga,71.97,-15.14,89,58,9.22
Plettenberg Bay,-34.05,60.76,80,0,8.32
Mahajanga,-15.72,82.4,78,20,4.7
Norman Wells,65.28,14.0,47,5,21.92
Ambulu,-8.35,78.3,78,56,2.75
Bandarbeyla,9.49,80.55,77,14,8.79
Show Low,34.25,66.7,14,1,6.93
Hūn,29.13,63.34,29,0,4.65
Mahibadhoo,3.78,83.46,75,36,7.96
Port Hardy,50.7,46.4,65,75,13.87
Vysha,53.85,28.27,94,99,11.61
Berlevåg,70.86,23.09,79,90,14.99
Panguna,-6.32,70.54,82,100,4.21
Boma,7.08,77.47,82,94,3.15
Lagoa,39.05,57.34,68,100,27.65
Kamenka,51.32,33.01,67,11,7.0
Manzanillo,20.34,84.43,55,0,11.1
Hasaki,35.73,51.1,93,75,4.7
Oberndorf,48.29,32.85,55,8,8.05
Nivala,63.92,32.0,87,78,1.99
Narsaq,60.92,35.6,74,20,5.82
Alwa Tirunagari,8.6,79.39,60,49,6.82
Puteyets,65.17,11.55,94,38,3.65
Punta Cardon,11.66,80.6,68,3,25.57
Pauini,-7.71,84.78,64,91,2.19
San Juan,-31.54,79.84,39,45,6.06
Ahipara,-35.17,64.83,73,99,5.23
Abalak,58.13,29.39,96,100,8.25
Kropotkin,45.44,45.97,75,38,5.73
Pevek,69.7,-0.89,92,49,4.16
Vila Franca do Campo,37.72,53.6,62,20,9.17
Manuk Mangkaw,4.8,81.82,77,71,5.46
Weligama,5.97,75.52,86,3,5.91
Dunedin,-45.87,53.85,78,0,3.42
Barranca,-10.75,76.86,66,73,8.88
Lompoc,34.64,74.05,41,77,12.75
Shimoda,34.67,51.98,95,100,1.01
Monrovia,6.3,81.34,84,20,8.43
Umm Kaddadah,13.6,83.01,12,12,11.81
Skjervøy,70.03,29.62,95,100,21.72
Carauari,-4.88,85.82,66,99,1.19
Spokane,47.62,39.54,60,90,13.87
Saint-Pierre,-21.34,72.14,83,75,9.17
Nagarote,12.27,95.0,39,20,16.11
Lagos,6.58,82.4,94,20,5.82
Verāval,20.9,72.16,82,0,10.29
Angoche,-16.23,75.13,81,2,8.3
Salamiyah,35.01,55.31,62,1,3.83
Tigre,-34.43,71.76,78,62,14.99
Zhob,31.34,54.34,34,0,1.41
Tuburan,6.64,77.0,94,75,2.24
Itarema,-2.92,80.2,86,98,10.2
Atar,20.52,86.13,23,100,7.18
Āwash,8.98,79.02,42,34,2.04
Muleba,-1.84,71.6,88,75,2.53
Batagay,67.63,1.9,90,97,1.12
Broome,42.25,45.81,81,90,6.93
Dauphin,51.15,55.4,54,75,14.99
Zapolyarnyy,69.42,19.4,85,75,14.99
Xining,36.62,30.13,38,99,3.27
Mordovo,52.08,29.62,88,21,11.95
Nhamundá,-2.19,78.71,93,100,1.97
Kerema,-7.96,75.96,90,100,7.81
Bruneck,46.8,28.08,92,20,3.36
Pangody,65.85,12.24,93,99,8.16
Port-Cartier,50.03,41.0,48,90,13.87
Deder,9.32,60.53,46,34,1.74
Rolante,-29.65,73.99,74,40,16.11
Bathsheba,13.22,80.6,57,20,14.99
Vao,-22.67,74.39,74,1,16.82
Garden City,42.33,43.38,81,90,6.93
Nome,64.5,24.4,85,90,9.17
Kharitonovo,61.4,20.48,92,17,3.18
Yulara,-25.24,68.0,88,96,4.7
Kattivākkam,13.22,80.47,83,20,2.24
Marang,5.21,78.4,94,20,3.36
Yamada,39.47,48.99,86,100,9.26
Sobolevo,54.43,26.31,80,23,6.04
Adrar,20.5,80.67,21,99,3.94
Kloulklubed,7.04,78.8,88,75,3.36
Rawson,-43.3,69.08,40,20,24.27
Nelson Bay,-32.72,66.4,100,90,6.93
Samaná,19.21,82.4,69,20,9.17
Wattegama,6.8,75.2,100,20,3.36
Abū Zabad,12.35,83.1,12,0,11.18
Luanda,-8.84,80.6,83,40,11.41
Littleton,39.61,64.67,18,20,11.41
Räpina,58.1,31.37,91,100,14.99
Escanaba,45.75,40.55,60,90,8.05
Pochutla,15.74,89.83,46,20,11.41
Cap-aux-Meules,47.38,32.0,98,90,14.99
Xichang,27.9,52.43,32,1,2.15
Praia da Vitória,38.73,57.2,71,40,24.32
Cuenca,-2.88,66.2,72,75,6.93
Buraidah,26.33,75.2,41,32,14.99
Warrnambool,-38.38,55.89,83,1,6.96
Itatinga,-23.1,72.3,61,41,3.76
Nishihara,26.18,72.81,100,75,11.41
Tiksi,71.69,-5.22,87,100,4.23
Thinadhoo,0.53,82.76,70,94,10.11
Myitkyina,25.38,68.65,35,0,2.51
